,Format Type ,Data Description ,Reader ,Writer
0,text ,CSV ,read_csv ,to_csv
1,text ,JSON ,read_json ,to_json
2,text ,HTML ,read_html ,to_html
3,text ,Local clipboard ,read_clipboard ,to_clipboard
4,binary ,MS Excel ,read_excel ,to_excel
5,binary ,HDF5 Format ,read_hdf ,to_hdf
6,binary ,Feather Format ,read_feather ,to_feather
7,binary ,Parquet Format ,read_parquet ,to_parquet
8,binary ,Msgpack ,read_msgpack ,to_msgpack
9,binary ,Stata ,read_stata ,to_stata
10,binary ,SAS ,read_sas , 
11,binary ,Python Pickle Format ,read_pickle ,to_pickle
12,SQL ,SQL ,read_sql ,to_sql
13,SQL ,Google Big Query ,read_gbq ,to_gbq
